200922-949-52	\sqrt { \gamma }
TrainData2_1_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
KME2G3_26_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
TrainData2_23_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire001-equation046	a ^ { 2 } - 2 a b = ( a - b ) ^ { 2 } - b ^ { 2 }
MfrDB0063	p ( x ) = \sum \limits _ { k = 0 } ^ { n } a _ { k } x ^ { k }
formulaire013-equation063	\frac { 1 } { g ( y ) } \frac { d y } { d x } = f ( x )
MfrDB1709	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
2009213-137-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
200924-1312-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire019-equation066	x ^ { 3 } - 3 x - 1
200926-1550-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
TrainData2_23_sub_63	\frac { 1 } { a } F ( a x + b ) + C
200923-1556-247	\frac { \int \sqrt { s } d u } { \tan ^ { g } q }
2009210-947-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
formulaire006-equation025	1 8 9 \pm 1 5 9 \times ( 5 0 \times 9 9 )
MfrDB2145	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
TrainData2_21_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire017-equation005	( ( 8 6 - 9 1 ) / 1 2 0 ) - ( 3 0 / 7 1 ) \leq 0
109_Fabricio	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
MfrDB2983	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
formulaire038-equation001	a _ { 2 } x ^ { 2 } + b _ { 2 } x + c _ { 2 }
2009213-137-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
TrainData2_21_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire028-equation015	1 8 6 / ( ( 9 1 + 1 5 1 ) / ( 1 8 - 1 3 3 ) ) = - 8 8 . 3 9
formulaire025-equation030	5 4 - 1 2 7 \leq - 7 2
KME2G3_0_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
MfrDB1303	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
MfrDB3837	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
formulaire034-equation015	1 2 5 + ( 3 0 + ( 3 4 \div 1 3 4 ) ) \leq 1 5 5
formulaire017-equation055	1 4 9 / ( 1 2 3 / ( 3 7 + 1 5 5 ) ) \neq - 2 5 8
200925-1126-17	\cdots - \frac { H } { p }
formulaire033-equation045	1 1 1 + 4 8 + 5 1 \neq - 1 4 8
formulaire033-equation018	\cos ^ { 2 } ( x ) = 1 - \sin ^ { 2 } ( x )
76_carlos	a = b \cos C + c \cos B
formulaire011-equation050	1 1 8 \times 1 2 0 \neq - 7 0 8 4
formulaire027-equation010	1 4 3 + ( 1 3 7 / ( 9 / 2 5 ) ) \neq - 3 2 0
formulaire010-equation018	1 \times 7 \times 1 3 \times 1 9 = 1 7 2 9
MfrDB3091	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire001-equation011	2 1 - 5 \sqrt { 2 1 } + ( 1 5 \sqrt { 7 } - 2 1 \sqrt { 3 } ) i
KME2G3_13_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire031-equation000	1 4 3 \pm ( 1 2 4 \times ( 3 1 - 3 5 ) ) \div 1 3 5
200923-1254-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire020-equation032	m \frac { d ^ { 2 } x } { d t ^ { 2 } } = f ( x )
formulaire011-equation010	6 4 / ( 7 8 - 9 - 1 6 7 ) = - 0 . 6 5
KME2G3_6_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
200922-1017-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
formulaire036-equation048	\sum \limits _ { i = 1 } ^ { 5 } d _ { i } ^ { 2 } = 2 4
KME2G3_16_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
95_alfonso	b = c \sin B = c \cos A
200926-1550-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_18_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB1677	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
MfrDB1806	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
formulaire029-equation019	h _ { 0 0 } ( t ) = 2 t ^ { 3 } - 3 t ^ { 2 } + 1
formulaire008-equation059	c \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } = 0
MfrDB3178	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
TrainData2_9_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
2009212-952-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
TrainData2_21_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
76_leissi	a = b \cos C + c \cos B
108_edwin	a ^ { x } a ^ { y } = a ^ { x + y }
KME2G3_13_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire022-equation060	( ( 6 4 / 6 9 ) \times 1 4 3 ) - ( 1 8 1 / 1 6 6 ) \geq 1 3 1
formulaire001-equation044	( 1 + 9 + 6 + 8 + 3 ) ^ { 3 } = 1 9 , 6 8 3
MfrDB3472	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
108_caue	a ^ { x } a ^ { y } = a ^ { x + y }
formulaire012-equation038	\alpha x ^ { \alpha - 1 }
TrainData2_5_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
200926-1617-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
formulaire031-equation035	8 8 \pm 1 0 8 / ( ( 4 8 \times 9 ) \times ( 8 9 / 1 6 0 ) )
2009210-947-32	a x ^ { 4 } + b x + c = 0
formulaire027-equation020	2 + 1 1 1 + 4 0 - 1 8 5 + 4 7 \neq 1 2
formulaire013-equation015	( ( 1 9 2 - 2 8 ) / 1 5 4 ) / 1 8 8 \neq 0
MfrDB1854	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
200923-1251-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire014-equation030	2 3 \times ( 1 2 2 \times ( 2 / 6 5 ) ) = 8 6 . 3 4
formulaire002-equation002	\phi ( n ) = ( p - 1 ) ( q - 1 ) = n + 1 - s
2009220-1327-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire035-equation050	( 4 6 \div ( 1 0 - 1 8 9 ) ) \times 1 4 4 \neq - 3
TrainData1_7_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
MfrDB1696	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
formulaire002-equation057	d _ { q 2 } ^ { 2 } + d _ { 2 3 } ^ { 2 } + d _ { 3 4 } ^ { 2 }
200922-1017-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
MfrDB2254	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
KME2G3_16_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
75_rosario	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
formulaire037-equation065	1 9 4 \div ( 1 3 0 \div ( 8 6 \div 4 7 ) ) \leq 3
MfrDB1536	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
formulaire019-equation000	1 9 8 \pm ( ( 5 9 \times 3 0 ) - 9 0 ) - 1 8 8
formulaire016-equation020	4 9 \pm ( 9 8 - 1 9 3 ) / ( 6 0 \times 1 1 9 )
TrainData2_0_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire001-equation069	f ( z ) = \sum \limits _ { n = 0 } ^ { \infty } a _ { n } ( z - a ) ^ { n }
MfrDB0014	( a + b ) ^ { 2 } = a ^ { 2 } + 2 a b + b ^ { 2 }
formulaire010-equation050	( 3 7 - 5 ) / ( ( 1 4 0 / 1 9 8 ) / 1 5 0 ) \geq 6 7 8 8
200922-947-105	\frac { - \sqrt { \cdots + A _ { a } } } { Y - [ a ] }
95_Frank	b = c \sin B = c \cos A
formulaire014-equation014	\lim \limits _ { x \rightarrow a } \frac { f ( x ) } { g ( x ) } = 1
TrainData2_15_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
200924-1312-263	\sum \limits _ { Y > S } m + p
formulaire027-equation043	a \sqrt { x } + b x + c
KME2G3_26_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
KME2G3_24_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB1476	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
formulaire025-equation025	1 6 8 \pm 1 9 + ( ( 1 1 + 7 8 ) / ( 6 - 1 6 3 ) )
formulaire039-equation049	u ( z ) = \lim \limits _ { n \rightarrow \infty } u _ { n } ( z )
2009220-1327-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
formulaire037-equation048	a d _ { 1 } \leq d _ { 2 } \leq b d _ { 1 }
formulaire026-equation030	1 8 9 \pm 6 6 + ( ( 1 6 9 \div 4 9 ) - ( 1 7 \div 7 6 ) )
MfrDB1625	( a - b - c ) ^ { 4 } \geq a b - 4 a
formulaire014-equation025	1 0 7 + ( 8 2 \div 1 0 8 ) \neq - 9 0
75_user0	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
formulaire031-equation060	7 9 \pm ( 1 5 1 \times ( 1 5 3 + 1 2 9 ) ) - ( 4 6 + 3 0 )
formulaire022-equation010	( ( 1 8 / 6 ) \times 1 6 6 ) - ( 8 5 - 1 5 8 ) = 5 7 1
MfrDB1571	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
TrainData2_21_sub_39	\sin x - \sin y - \sin ( x - y )
MfrDB3002	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
MfrDB2975	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
200924-1312-121	\cdots - c ^ { m - M E }
MfrDB3153	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
MfrDB3173	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
200922-947-55	\frac { 1 } { \sin ( x ) + 1 }
formulaire022-equation062	u ( x - x _ { 0 } ) + v ( y - y _ { 0 } ) = 0
formulaire024-equation001	x ^ { 3 } - x - 1
76_miguel	a = b \cos C + c \cos B
200923-1254-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
TrainData2_18_sub_39	\sin x - \sin y - \sin ( x - y )
2009213-137-9	\frac { - 4 + L ^ { I } } { \sqrt { X } }
formulaire028-equation033	\frac { 1 9 x } { 4 } = \frac { 3 } { 4 }
200923-131-153	\int \limits _ { x d } ^ { - L } c - \frac { j } { l } d x
79_caue	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
TrainData2_17_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
formulaire009-equation022	\lim \limits _ { x \rightarrow a } f ( x ) = 1
107_edwin	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
108_jorge	a ^ { x } a ^ { y } = a ^ { x + y }
formulaire011-equation033	x ( 6 - x ) \leq 2 x - 5
KME2G3_19_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire009-equation048	\frac { 1 } { \cos ^ { 2 } x }
KME2G3_14_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire012-equation006	x ^ { 2 } - x y + y ^ { 2 }
79_rosario	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
MfrDB2110	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
TrainData2_6_sub_39	\sin x - \sin y - \sin ( x - y )
MfrDB2375	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
MfrDB3051	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
KME2G3_18_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire021-equation065	1 8 4 \div ( 1 2 6 \times 3 7 ) \leq 0
MfrDB1544	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
KME2G3_2_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire012-equation062	q = u 1 + v i + w j + x k
TrainData2_5_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
200924-1331-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200922-949-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
200924-1312-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
200926-1617-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
MfrDB1547	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
formulaire004-equation057	( 1 - j ) ( m - n ) = ( - 1 - j ) a + j b + c
MfrDB3376	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
TrainData2_19_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
79_Nina	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
MfrDB2102	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
95_Fabricio	b = c \sin B = c \cos A
MfrDB1938	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
formulaire024-equation025	1 5 0 - ( ( 6 9 / 7 7 ) / 2 6 ) \neq - 1 0 7
TrainData2_8_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
108_Frank	a ^ { x } a ^ { y } = a ^ { x + y }
KME2G3_5_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire020-equation040	1 4 4 \div ( 6 \times 1 2 4 ) \geq 0
118_user0	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire011-equation040	( ( 6 5 + 1 9 7 ) \div 1 2 ) \div 1 9 0 \neq 0
formulaire007-equation042	2 = \frac { p ^ { 2 } } { q ^ { 2 } }
formulaire014-equation005	1 7 7 / ( ( 1 1 6 / 5 9 ) / ( 1 6 8 + 1 3 9 ) ) \geq 2 7 6 3 7
108_alfonso	a ^ { x } a ^ { y } = a ^ { x + y }
TrainData2_4_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB2952	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
TrainData2_4_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire025-equation070	1 5 4 \times 1 8 6 \leq 2 8 6 4 4
109_lucelia	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
TrainData2_25_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } + z _ { 2 }
formulaire001-equation070	7 6 \pm ( ( 4 1 + 1 1 8 ) \times 1 2 4 ) \times 1 3 0
TrainData2_16_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire031-equation051	y ^ { 2 } = x ^ { 3 } - x
107_bruno	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
TrainData2_22_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire026-equation056	( y - 1 ) ( 4 y ^ { 2 } + 2 y - 1 ) ^ { 2 } = 0
formulaire014-equation015	1 4 8 \pm 4 5 + ( ( 1 9 1 \times 1 ) + ( 7 7 - 1 0 8 ) )
200922-947-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
200926-1617-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
118_leo	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
MfrDB1269	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
formulaire031-equation025	( 2 2 + 1 9 7 + 1 3 8 ) \times 2 0 \geq 7 1 3 9
KME2G3_28_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
MfrDB3432	\int \cos t d t = \sin t
MfrDB1703	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
formulaire015-equation043	Y = \frac { 1 } { 1 - e ^ { - X } }
KME2G3_21_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire034-equation038	x ^ { 2 } - 6 x + 5 + 9 - 5 = 9 - 5
TrainData2_20_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
formulaire028-equation055	( 1 4 7 + 1 7 9 ) / ( ( 1 7 6 + 2 1 ) / 2 3 ) \leq 3 8
MfrDB3568	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
formulaire027-equation031	x ^ { - 1 } = x ^ { d - 1 }
formulaire015-equation033	\frac { 2 5 } { 9 } = \frac { 1 } { 3 ^ { 2 } } + \frac { 2 } { 3 } + 2
76_david	a = b \cos C + c \cos B
KME2G3_3_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire025-equation015	( 1 4 0 / 1 6 ) \times 9 2 \leq 8 0 5
formulaire011-equation041	\frac { 1 } { 2 ^ { 2 } \times 5 ^ { 3 } }
formulaire017-equation011	4 + 4 + 2 \times 6 = 2 0
TrainData2_17_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
formulaire003-equation018	n ^ { 3 } = n ^ { \log _ { 2 } 8 }
formulaire016-equation055	( 1 3 2 + 1 2 9 - 4 4 ) \div 1 0 2 \neq - 2
formulaire002-equation010	( 2 9 - 2 4 + 1 6 9 ) \times 8 8 \leq - 1 4 4 3 1
107_Frank	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
KME2G3_10_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB3116	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
200922-1017-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
76_edwin	a = b \cos C + c \cos B
95_edwin	b = c \sin B = c \cos A
TrainData2_3_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
MfrDB1236	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
200925-1126-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
MfrDB0042	\sin ( 2 x ) = 2 \cdot \sin x \cdot \cos x
MfrDB3185	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
KME2G3_24_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire003-equation030	1 8 6 \pm 6 + 9 8 + 1 7 6 + 9 2
formulaire019-equation036	a \leq x \leq b
MfrDB1248	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
formulaire016-equation065	1 9 6 + ( 1 5 7 \times 6 7 ) \geq 1 0 7 1 4
TrainData2_6_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire015-equation038	\sum \limits _ { i = 1 } ^ { n } a _ { i i }
MfrDB1239	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
formulaire036-equation007	q = a + b i + c j + d k
formulaire031-equation029	x _ { 1 } \times x _ { 2 } \times \ldots \times x _ { n }
formulaire007-equation055	( 1 5 4 / ( 9 3 / 1 4 0 ) ) \times 1 1 2 \geq 2 5 9 6 4
75_caue	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
200923-1556-46	\sum \limits _ { b = P } ^ { k } - v - m
MfrDB1794	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
formulaire037-equation053	5 x ^ { 2 } - 5 x + 1 = 0
MfrDB0808	\pi _ { i } = \int \limits _ { 0 } ^ { \infty } p ( x , i ) d x
200926-1550-20	\frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
200922-947-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
MfrDB2103	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
formulaire012-equation015	1 2 3 \pm ( 1 8 5 \div ( 3 6 \div 6 4 ) ) \div 1 2 2
95_leo	b = c \sin B = c \cos A
formulaire003-equation010	( ( 2 6 \div 1 2 8 ) + 5 0 ) - ( 1 8 3 \div 2 9 ) \neq - 6
200926-131-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
TrainData2_22_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
200922-949-55	\frac { 1 } { \sin ( x ) + 1 }
TrainData2_16_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
MfrDB1829	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
formulaire031-equation021	x ^ { 5 } + a x + b = 0
TrainData1_0_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
formulaire031-equation015	( ( 2 6 \times 1 4 6 ) \div ( 6 5 \div 1 6 4 ) ) \div 1 1 8 = 8 1 . 1 7
formulaire038-equation052	x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 }
MfrDB3277	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
108_maira	a ^ { x } a ^ { y } = a ^ { x + y }
formulaire036-equation063	1 ^ { 2 } + 2 ^ { 2 } + 5 ^ { 2 } + 1 0 ^ { 2 } = 1 3 0
95_carlos	b = c \sin B = c \cos A
200924-1312-303	\sum \limits _ { 4 = N } ^ { [ R ] } a + w
formulaire005-equation066	\frac { a ^ { 2 } } { b ^ { 2 } } = a ^ { k }
formulaire014-equation002	\frac { 3 h } { 8 } ( f _ { 0 } + 3 f _ { 1 } + 3 f _ { 2 } + f _ { 3 } )
76_maira	a = b \cos C + c \cos B
KME2G3_3_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire003-equation050	2 8 \pm ( ( 1 6 / 1 8 3 ) - ( 1 5 7 \times 1 7 2 ) ) \times 1 8 1
formulaire015-equation067	\alpha = \frac { 2 \pi } { 3 6 5 , 2 5 }
109_miguel	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
formulaire014-equation065	1 7 3 \pm ( ( 1 9 8 \times 1 1 4 ) - ( 1 5 8 - 1 6 6 ) ) \times 1 1 0
200923-1253-26	a + \frac { \sqrt { b + c } } { 2 }
KME2G3_27_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
KME2G3_20_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
76_fujita	a = b \cos C + c \cos B
75_leo	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
TrainData2_11_sub_39	\sin x - \sin y - \sin ( x - y )
TrainData1_0_sub_5	e ^ { i \pi } + 1 = 0
MfrDB2590	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
200924-1312-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire035-equation046	7 2 9 0 0 0 0 0 0 0 0 = 2 ^ { 8 } 3 ^ { 6 } 5 ^ { 8 }
formulaire014-equation035	( 1 0 3 / ( 1 8 + 1 3 4 ) ) + 1 0 9 \leq 1 1 0
200922-1017-20	\frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
formulaire020-equation074	\int \frac { 1 } { h ( y ) } d y = \int g ( x ) d x
formulaire020-equation029	\phi ( a , 0 , n + 1 ) = \phi ( n , 0 , 0 )
formulaire034-equation046	\cos ^ { 2 } a + \sin ^ { 2 } a = 1
2009210-947-26	a + \frac { \sqrt { b + c } } { 2 }
MfrDB3126	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
MfrDB3156	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
108_danilo	a ^ { x } a ^ { y } = a ^ { x + y }
200922-1017-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire001-equation034	\alpha = ( \alpha _ { 1 } , \alpha _ { 2 } , \ldots , \alpha _ { n } )
200923-1556-20	\frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
formulaire033-equation004	( \frac { 1 } { b _ { n } } \sum \limits _ { k = 0 } ^ { n } b _ { k } u _ { k } )
MfrDB1263	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
TrainData2_11_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
TrainData2_25_sub_39	\sin x - \sin y - \sin ( x - y )
95_caue	b = c \sin B = c \cos A
TrainData1_8_sub_7	\tan z = \frac { \sin z } { \cos z }
TrainData2_4_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
200926-1550-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire022-equation024	y ^ { 2 } = x ( x - a ^ { p } ) ( x + b ^ { p } )
200923-1553-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire017-equation050	1 8 1 \pm ( 1 2 9 + 1 1 7 ) \div ( 6 1 + 1 8 0 )
TrainData2_12_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire025-equation005	( 9 0 / ( 4 2 \times 1 4 0 ) ) + 8 0 \geq 7 9
KME2G3_25_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
